"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"China","CHN","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.19906855397864","1.95739995387351","3.77583392253618","5.15625690668788","9.759065287663","19.6824725426992","47.9115666242343","209.120055972504","446.706827597596",
"Cote d'Ivoire","CIV","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.535724287060554","0.665758223719016","1.80998095900031","2.44482117830873","3.44406092225858","5.03742700628339","6.04465133569584","8.67520282071764","11.6477455289909",
"Cameroon","CMR","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.344128462958578","0.43049043191966","0.884326961555887","1.26827114441269","1.80761205717803","2.23191598656181","2.8002378446795","8.54838456902607","5.43300731191573",
"Congo, Dem. Rep.","COD","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0619541702079929","0.0749005848282604","0.173860766821315","0.154150559159432","0.352458991836874","0.511512010616786","0.634605330758393","2.55532135598521","2.81914335368933",
"Congo, Rep.","COG","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.227539362034238","1.77375804787284","1.94688845043038","3.16657849504768","3.7066820150759","4.61754760440626","4.696028060333","6.10178967397947",
"Colombia","COL","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5035745322592","14.8916743473762","30.4057256694295","41.3572694498367","54.7379880295621","71.316339057278","320.003208543361","462.975592393017","651.336485548409",
"Comoros","COM","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.41528994337425","0","1.3486085731047","3.95053924860744","1.28629936816975","59.0755060382709","4.91465698151598","7.20874853722478",
"Cabo Verde","CPV","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3578657638018","28.0642109145725","61.3575860738072","62.5307768667391","75.2504973286074","74.3220967216332","112.963290695967","260.466570045972","498.375223211412",
"Costa Rica","CRI","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.552732590579","137.921031468011","163.609215017065","272.874483852853","305.084293351373","312.92519252016","489.861399840183","1161.42493445394","1205.93482351327",
"Caribbean small states","CSS","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.1294059002416","95.6939570547735","150.155563709012","176.4623633996","200.461842896743","268.061917872253","357.526756730211","761.45011818198","1023.10583077919",
